APP,CVE ID,Spanish Description,English Description,AccessVector,Attack Complexity,Confidentiality Impact,Integrity Impact,Availability Impact,Base Score,Base Severity,Exploitability Score,Impact Score,Version End Excluding,Version End Including
Telegram,CVE-2021-31319,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por un Desbordamiento de Enteros en la función LOTGradient::populate de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría acceder a la memoria de la pila fuera de límites en un dispositivo víctima por medio de una etiqueta animada maliciosa","Telegram Android <7.1.0 (2090), Telegram iOS <7.1, and Telegram macOS <7.1 are affected by an Integer Overflow in the LOTGradient::populate function of their custom fork of the rlottie library. A remote attacker might be able to access heap memory out-of-bounds on a victim device via a malicious animated sticker.",LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,7.1.0,
Telegram,CVE-2021-31320,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por una vulnerabilidad de Desbordamiento del Búfer en la región Heap de la memoria en la función VGradientCache::generateGradientColorTable de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría sobrescribir la memoria de la pila fuera de límites en un dispositivo víctima por medio de una etiqueta animada maliciosa","Telegram Android <7.1.0 (2090), Telegram iOS <7.1, and Telegram macOS <7.1 are affected by a Heap Buffer Overflow in the VGradientCache::generateGradientColorTable function of their custom fork of the rlottie library. A remote attacker might be able to overwrite heap memory out-of-bounds on a victim device via a malicious animated sticker.",LOCAL,LOW,NONE,HIGH,HIGH,7.1,HIGH,NULL,NULL,7.1.0,
Telegram,CVE-2021-31321,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por un Desbordamiento en la región Stack de la Memoria en la función gray_split_cubic de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría sobrescribir la memoria de pila de Telegram fuera de límites en un dispositivo víctima por medio de una pegatina animada maliciosa","Telegram Android <7.1.0 (2090), Telegram iOS <7.1, and Telegram macOS <7.1 are affected by a Stack Based Overflow in the gray_split_cubic function of their custom fork of the rlottie library. A remote attacker might be able to overwrite Telegram's stack memory out-of-bounds on a victim device via a malicious animated sticker.",LOCAL,LOW,NONE,HIGH,HIGH,7.1,HIGH,NULL,NULL,7.1.0,
Telegram,CVE-2021-31322,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por una vulnerabilidad de Desbordamiento del Búfer en la región Heap de la memoria en la función LOTGradient::populate de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría acceder a la memoria de la pila fuera de límites en un dispositivo víctima por medio de una etiqueta animada maliciosa","Telegram Android <7.1.0 (2090), Telegram iOS <7.1, and Telegram macOS <7.1 are affected by a Heap Buffer Overflow in the LOTGradient::populate function of their custom fork of the rlottie library. A remote attacker might be able to access heap memory out-of-bounds on a victim device via a malicious animated sticker.",LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,7.1.0,
Telegram,CVE-2021-31323,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1,, están afectados por una vulnerabilidad de Desbordamiento del Búfer en la región Heap de la memoria en la función LottieParserImpl::parseDashProperty de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría acceder a la memoria de la pila fuera de límites en un dispositivo víctima por medio de una etiqueta animada maliciosa","Telegram Android <7.1.0 (2090), Telegram iOS <7.1, and Telegram macOS <7.1 are affected by a Heap Buffer Overflow in the LottieParserImpl::parseDashProperty function of their custom fork of the rlottie library. A remote attacker might be able to access heap memory out-of-bounds on a victim device via a malicious animated sticker.",LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,7.1.0,
Telegram,CVE-2021-36769,"Se presenta un problema de reordenación en Telegram versiones anteriores a 7.8.1 para Android, Telegram versiones anteriores a 7.8.3 para iOS y Telegram Desktop versiones anteriores a 2.8.8. Un atacante puede causar al servidor recibir mensajes en un orden diferente al que se envió al cliente","A reordering issue exists in Telegram before 7.8.1 for Android, Telegram before 7.8.3 for iOS, and Telegram Desktop before 2.8.8. An attacker can cause the server to receive messages in a different order than they were sent a client.",NETWORK,LOW,NONE,LOW,NONE,5.3,MEDIUM,NULL,NULL,7.8.1,
Shazam,CVE-2019-8791,Se presentó un problema en el análisis de los esquemas de URL. Este problema fue abordado con una comprobación de URL mejorada. Este problema fue corregido en Shazam Android App versión 9.25.0 y Shazam iOS App versión 12.11.0. El procesamiento de una URL diseñada maliciosamente puede conllevar a un redireccionamiento abierto.,"An issue existed in the parsing of URL schemes. This issue was addressed with improved URL validation. This issue is fixed in Shazam Android App Version 9.25.0, Shazam iOS App Version 12.11.0. Processing a maliciously crafted URL may lead to an open redirect.",NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,NULL,NULL,12.11.0,
Viber,CVE-2019-18800,"Viber hasta la versión 11.7.0.5 permite a un atacante remoto que puede capturar el tráfico de Internet de una víctima robar su cuenta de Viber, porque no todo el tráfico del protocolo de Viber está encriptado. El paquete de datos TCP 9 en el puerto 4244 del dispositivo de la víctima contiene información de texto claro, como el modelo del dispositivo y la versión del sistema operativo, IMSI, y 20 bytes de udid en formato binario, que se encuentra en el desplazamiento 0x14 de este paquete. Luego, el atacante instala Viber en su dispositivo, inicia el proceso de registro para cualquier número de teléfono, pero no ingresa un pin de SMS. En cambio, cierra Viber. Luego, el atacante reescribe su udid con el udid de la víctima, modificando el archivo viber_udid, que se encuentra en la carpeta de preferencias de Viber. (El udid se almacena en un formato hexadecimal). Finalmente, el atacante inicia Viber nuevamente e ingresa el pin desde SMS.","Viber through 11.7.0.5 allows a remote attacker who can capture a victim's internet traffic to steal their Viber account, because not all Viber protocol traffic is encrypted. TCP data packet 9 on port 4244 from the victim's device contains cleartext information such as the device model and OS version, IMSI, and 20 bytes of udid in a binary format, which is located at offset 0x14 of this packet. Then, the attacker installs Viber on his device, initiates the registration process for any phone number, but doesn't enter a pin from SMS. Instead, he closes Viber. Next, the attacker rewrites his udid with the victim's udid, modifying the viber_udid file, which is located in the Viber preferences folder. (The udid is stored in a hexadecimal format.) Finally, the attacker starts Viber again and enters the pin from SMS.",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,,11.7.0.5
Microsoft Excel,CVE-2022-26903,Una vulnerabilidad de Ejecución de Código Remota en Windows Graphics Component,Windows Graphics Component Remote Code Execution Vulnerability,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,NULL,NULL,,
Moments,CVE-2018-13298,"Una vulnerabilidad de canal accesible por ""non-endpoint"" en la página de privacidad de Synology Android Moments, en versiones anteriores a la 1.2.3-199, permite a los atacantes Man-in-the-Middle (MitM) ejecutar código arbitrario mediante vectores sin especificar.",Channel accessible by non-endpoint vulnerability in privacy page in Synology Android Moments before 1.2.3-199 allows man-in-the-middle attackers to execute arbitrary code via unspecified vectors.,NETWORK,MEDIUM,PARTIAL,PARTIAL,PARTIAL,6.8,MEDIUM,NULL,NULL,1.2.3-199,
OneDrive,CVE-2020-0654,"Se presenta una vulnerabilidad de omisión de la característica de seguridad en la aplicación Microsoft OneDrive para Android. Esto podría permitir a un atacante omitir los requisitos de contraseña o huella dactilar de la aplicación. La actualización de seguridad aborda la vulnerabilidad corrigiendo la manera en que la aplicación Microsoft OneDrive para Android maneja el intercambio de enlaces, también se conoce como ""Microsoft OneDrive for Android Security Feature Bypass Vulnerability"".","A security feature bypass vulnerability exists in Microsoft OneDrive App for Android.This could allow an attacker to bypass the passcode or fingerprint requirements of the App.The security update addresses the vulnerability by correcting the way Microsoft OneDrive App for Android handles sharing links., aka 'Microsoft OneDrive for Android Security Feature Bypass Vulnerability'.",NETWORK,LOW,HIGH,HIGH,NONE,9.1,CRITICAL,NULL,NULL,,
OneDrive,CVE-2022-23255,Una Vulnerabilidad de la función de seguridad de Microsoft OneDrive para Android,Microsoft OneDrive for Android Security Feature Bypass Vulnerability,PHYSICAL,LOW,HIGH,HIGH,NONE,5.9,MEDIUM,NULL,NULL,,
OneDrive,CVE-2023-24923,Descripcion no disponible,Microsoft OneDrive for Android Information Disclosure Vulnerability,LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,6.73,
Zoom,CVE-2022-28755,"Zoom Client for Meetings (para Android, iOS, Linux, macOS y Windows) versiones anteriores a 5.11.0, es susceptible de una vulnerabilidad de análisis de URL. Si es abierta una URL de reunión de Zoom maliciosa, el enlace malicioso puede dirigir al usuario a conectarse a una dirección de red arbitraria, lo que conlleva ataques adicionales, incluyendo la posibilidad de ejecución de código remoto mediante el lanzamiento de ejecutables desde rutas arbitrarias","The Zoom Client for Meetings (for Android, iOS, Linux, macOS, and Windows) before version 5.11.0 are susceptible to a URL parsing vulnerability. If a malicious Zoom meeting URL is opened, the malicious link may direct the user to connect to an arbitrary network address, leading to additional attacks including the potential for remote code execution through launching executables from arbitrary paths.",NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,NULL,NULL,5.11.0,
Zoom,CVE-2022-36928,Descripcion no disponible,Zoom for Android clients before version 5.13.0 contain a path traversal vulnerability. A third party app could exploit this vulnerability to read and write to the Zoom application data directory.,LOCAL,LOW,HIGH,HIGH,NONE,7.1,HIGH,NULL,NULL,5.13.0,
Zoom,CVE-2023-28597,Descripcion no disponible,"Zoom clients prior to 5.13.5 contain an improper trust boundary implementation vulnerability. If a victim saves a local recording to an SMB location and later opens it using a link from Zoom’s web portal, an attacker positioned on an adjacent network to the victim client could set up a malicious SMB server to respond to client requests, causing the client to execute attacker controlled executables. This could result in an attacker gaining access to a user's device and data, and remote code execution.",ADJACENT_NETWORK,HIGH,HIGH,HIGH,HIGH,7.5,HIGH,NULL,NULL,5.13.5,
Zoom,CVE-2023-28599,Descripcion no disponible,"Zoom clients prior to 5.13.10 contain an HTML injection vulnerability.  A malicious user could inject HTML into  their display name potentially leading a victim to a malicious website during meeting creation.

",NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,NULL,NULL,5.13.10,
Zoom,CVE-2023-36532,El desbordamiento del búfer en los clientes Zoom anteriores a la versión 5.14.5 puede permitir a un usuario no autenticado activar una denegación de servicio a través del acceso a la red. ,Buffer overflow in Zoom Clients before 5.14.5 may allow an unauthenticated user to enable a denial of service via network access.,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,NULL,NULL,5.14.5,
Zoom,CVE-2023-36535,La aplicación del lado del cliente de la seguridad del lado del servidor en los clientes en Zoom anteriores a la versión 5.14.10 puede permitir que un usuario autenticado permita la divulgación de información a través del acceso a la red.,Client-side enforcement of server-side security in Zoom clients before 5.14.10 may allow an authenticated user to enable information disclosure via network access.,NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,5.14.10,
Zoom,CVE-2023-39218,Descripcion no disponible,Client-side enforcement of server-side security in Zoom clients before 5.14.10 may allow a privileged user to enable information disclosure via network access.,NETWORK,LOW,HIGH,NONE,NONE,4.9,MEDIUM,NULL,NULL,5.14.10,
Zoom,CVE-2023-39214,Descripcion no disponible,"
Exposure of sensitive information in Zoom Client SDK's before 5.15.5 may allow an authenticated user to enable a denial of service via network access.

",NETWORK,LOW,HIGH,NONE,HIGH,8.1,HIGH,NULL,NULL,5.15.5,
Zoom,CVE-2023-39215,Una autenticación inadecuada en los clientes de Zoom puede permitir que un usuario autenticado realice una denegación de servicio a través del acceso a la red.  ,Improper authentication in Zoom clients may allow an authenticated user to conduct a denial of service via network access.,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,NULL,NULL,5.15.5,
Zoom,CVE-2023-39199,Los problemas criptográficos con el chat durante la reunión para algunos clientes de Zoom pueden permitir que un usuario privilegiado realice una divulgación de información a través del acceso a la red.,Cryptographic issues with In-Meeting Chat for some Zoom clients may allow a privileged user to conduct an information disclosure via network access.,NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,5.16.0,
Zoom,CVE-2023-39204,El desbordamiento del búfer en algunos clientes de Zoom puede permitir que un usuario no autenticado realice una denegación de servicio a través del acceso a la red.,Buffer overflow in some Zoom clients may allow an unauthenticated user to conduct a denial of service via network access.,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,NULL,NULL,5.15.10,
Zoom,CVE-2023-39205,La verificación de condiciones inadecuadas en Zoom Team Chat para clientes de Zoom puede permitir que un usuario autenticado lleve a cabo una denegación de servicio a través del acceso a la red.,Improper conditions check in Zoom Team Chat for Zoom clients may allow an authenticated user to conduct a denial of service via network access.,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,NULL,NULL,5.16.0,
Zoom,CVE-2023-39206,El desbordamiento del búfer en algunos clientes de Zoom puede permitir que un usuario no autenticado realice una denegación de servicio a través del acceso a la red.,Buffer overflow in some Zoom clients may allow an unauthenticated user to conduct a denial of service via network access.,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,NULL,NULL,5.16.0,
Zoom,CVE-2023-43582,La autorización inadecuada en algunos clientes de Zoom puede permitir que un usuario autorizado realice una escalada de privilegios a través del acceso a la red.,"Improper authorization in some Zoom clients may allow an authorized user to conduct an escalation of privilege via network access.
",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,5.16.0,
Zoom,CVE-2023-43583,"Los problemas criptográficos de la aplicación Zoom Mobile para Android, la aplicación Zoom Mobile para iOS y los SDK de Zoom para Android e iOS anteriores a la versión 5.16.0 pueden permitir que un usuario privilegiado realice una divulgación de información a través del acceso a la red.","Cryptographic issues Zoom Mobile App for Android, Zoom Mobile App for iOS, and Zoom SDKs for Android and iOS before version 5.16.0 may allow a privileged user to conduct a disclosure of information via network access.",NETWORK,LOW,HIGH,NONE,NONE,4.9,MEDIUM,NULL,NULL,5.16.0,
Zoom,CVE-2023-49646,La autenticación incorrecta en Zoom clients anteriores a la versión 5.16.5 puede permitir que un usuario autenticado realice una denegación de servicio a través del acceso a la red.,Improper authentication in some Zoom clients before version 5.16.5 may allow an authenticated user to conduct a denial of service via network access.,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,NULL,NULL,5.16.5,
LastPass,CVE-2013-5113,"LastPass versiones anteriores a 2.5.1, presenta una implementación de PIN no segura.",LastPass prior to 2.5.1 has an insecure PIN implementation.,PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,NULL,NULL,2.5.1,
LastPass,CVE-2013-5114,"LastPass versiones anteriores a 2.5.1, permite una omisión de limpieza segura.",LastPass prior to 2.5.1 allows secure wipe bypass.,PHYSICAL,LOW,HIGH,HIGH,NONE,6.1,MEDIUM,NULL,NULL,2.5.1,
OneNote,CVE-2023-21721,Descripcion no disponible,Microsoft OneNote Elevation of Privilege Vulnerability,NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,16.0.16026.20158,
TikTok,CVE-2022-28799,La aplicación TikTok antes de la versión 23.7.3 para Android permite la toma de posesión de cuentas. Una URL crafteada (deeplink no validado) puede forzar el com.zhiliaoapp.musically WebView a cargar un sitio web arbitrario. Esto puede permitir a un atacante aprovechar una interfaz JavaScript adjunta para la toma de posesión con un solo clic.,The TikTok application before 23.7.3 for Android allows account takeover. A crafted URL (unvalidated deeplink) can force the com.zhiliaoapp.musically WebView to load an arbitrary website. This may allow an attacker to leverage an attached JavaScript interface for the takeover with one click.,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,23.7.3,
Microsoft 365,CVE-2023-24910,Descripcion no disponible,Windows Graphics Component Elevation of Privilege Vulnerability,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,NULL,NULL,,
Firefox,CVE-2012-3979,"Mozilla Firefox anterior a v15.0 en Android no implementa correctamente los (callers) de la función __android_log_print, lo que permite a atacantes remotos ejecutar código arbitrario a través de una página web diseñada que llama a la función de volcado JavaScript.","Mozilla Firefox before 15.0 on Android does not properly implement unspecified callers of the __android_log_print function, which allows remote attackers to execute arbitrary code via a crafted web page that calls the JavaScript dump function.",NETWORK,MEDIUM,PARTIAL,PARTIAL,PARTIAL,6.8,MEDIUM,NULL,NULL,,14.0
Firefox,CVE-2020-15666,"Cuando se intenta cargar un archivo que no es de video en un contexto de audio y video, el código de estado exacto (200, 302, 404, 500, 412, 403, etc.) fue revelado por medio del MediaError Message.&#xa0;Este nivel de filtración de información es inconsistente con la divulgación estandarizada onerror/onsuccess y puede conllevar a inferir el estado de inicio de sesión a los servicios o a la detección de dispositivos en una red local, entre otros ataques.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80 y Firefox para Android versiones anteriores a 80","When trying to load a non-video in an audio/video context the exact status code (200, 302, 404, 500, 412, 403, etc.) was disclosed via the MediaError Message. This level of information leakage is inconsistent with the standardized onerror/onsuccess disclosure and can lead to inferring login status to services or device discovery on a local network among other attacks. This vulnerability affects Firefox < 80 and Firefox for Android < 80.",NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,80.0,
Firefox,CVE-2020-15668,Un candado esta faltando al acceder a una estructura de datos e importar información del certificado hacia la base de datos confiable.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80 y Firefox para Android versiones anteriores a 80,A lock was missing when accessing a data structure and importing certificate information into the trust database. This vulnerability affects Firefox < 80 and Firefox for Android < 80.,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,NULL,NULL,80.0,
Firefox,CVE-2020-15670,"Los desarrolladores de Mozilla reportaron de unos bugs de seguridad de la memoria presentes en Firefox para Android versión 79. Algunos de estos bugs han mostrado evidencia de corrupción de la memoria y suponemos que con suficiente esfuerzo algunos de ellos podrían haber sido explotados para ejecutar código arbitrario.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80, Firefox ESR versiones anteriores a 78.2, Thunderbird versiones anteriores a 78.2 y Firefox para Android versiones anteriores a 80","Mozilla developers reported memory safety bugs present in Firefox for Android 79. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 80, Firefox ESR < 78.2, Thunderbird < 78.2, and Firefox for Android < 80.",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,80.0,
Firefox,CVE-2020-15671,"Cuando se escribe una contraseña bajo determinadas condiciones, es posible que se haya producido una carrera en la que InputContext no estaba siendo ajustado correctamente para el campo de entrada, resultando en que la contraseña escrita se guardada en el diccionario del teclado.&#xa0;Esta vulnerabilidad afecta a Firefox para Android versiones anteriores a 80","When typing in a password under certain conditions, a race may have occured where the InputContext was not being correctly set for the input field, resulting in the typed password being saved to the keyboard dictionary. This vulnerability affects Firefox for Android < 80.",NETWORK,HIGH,LOW,NONE,NONE,3.1,LOW,NULL,NULL,80.0,
Firefox,CVE-2020-12400,"Cuando se convierten coordenadas desde una descriptiva a afín, la inversión modular no se llevó a cabo en un tiempo constante, resultando en un posible ataque de canal lateral basado en sincronización.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80 y Firefox para Android versiones anteriores a 80","When converting coordinates from projective to affine, the modular inversion was not performed in constant time, resulting in a possible timing-based side channel attack. This vulnerability affects Firefox < 80 and Firefox for Android < 80.",LOCAL,HIGH,HIGH,NONE,NONE,4.7,MEDIUM,NULL,NULL,80.0,
Firefox,CVE-2020-12401,"Durante la generación de firmas ECDSA, fue removido el relleno aplicado en el nonce diseñado para asegurar la multiplicación escalar de tiempo constante, resultando en una ejecución de tiempo variable dependiente de datos secretos.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80 y Firefox para Android versiones anteriores a 80","During ECDSA signature generation, padding applied in the nonce designed to ensure constant-time scalar multiplication was removed, resulting in variable-time execution dependent on secret data. This vulnerability affects Firefox < 80 and Firefox for Android < 80.",LOCAL,HIGH,HIGH,NONE,NONE,4.7,MEDIUM,NULL,NULL,80.0,
Firefox,CVE-2020-6829,"Cuando se lleva a cabo la multiplicación de puntos escalares EC, se usó el algoritmo de multiplicación de puntos wNAF;&#xa0;que filtró información parcial sobre el nonce usado durante la generación de firmas.&#xa0;Dado un rastro electromagnético de unas pocas generaciones de firmas, la clave privada podría haberse calculado.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 80 y Firefox para Android versiones anteriores a 80","When performing EC scalar point multiplication, the wNAF point multiplication algorithm was used; which leaked partial information about the nonce used during signature generation. Given an electro-magnetic trace of a few signature generations, the private key could have been computed. This vulnerability affects Firefox < 80 and Firefox for Android < 80.",NETWORK,LOW,LOW,NONE,NONE,5.3,MEDIUM,NULL,NULL,80.0,
Firefox,CVE-2020-26954,"Al aceptar un intent malicioso de otras aplicaciones instaladas, Firefox para Android aceptó manifiestos de rutas de archivo arbitrarias y permitió declarar manifiestos de aplicaciones web para otros orígenes. Esto podría ser usado para conseguir acceso a la pantalla completa para la suplantación de identidad y también podría conllevar a ataques de tipo cross-origin en sitios web específicos. *Nota: Este problema sólo afectaba a Firefox para Android. Otros sistemas operativos no están afectados. Esta vulnerabilidad afecta a Firefox versiones anteriores a 83","When accepting a malicious intent from other installed apps, Firefox for Android accepted manifests from arbitrary file paths and allowed declaring webapp manifests for other origins. This could be used to gain fullscreen access for UI spoofing and could also lead to cross-origin attacks on targeted websites. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 83.",NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,NULL,NULL,83.0,
Firefox,CVE-2020-26955,"Cuando un usuario descargaba un archivo en Firefox para Android, si una cookie es ajustada, ésta habría sido reenviada durante una operación posterior de descarga de archivos en el mismo dominio, independientemente de si la petición original y posterior se encontraban en modos de navegación privados y no privados. *Nota: Este problema sólo afectaba a Firefox para Android. Los demás sistemas operativos no están afectados.*. Esta vulnerabilidad afecta a Firefox versiones anteriores a 83","When a user downloaded a file in Firefox for Android, if a cookie is set, it would have been re-sent during a subsequent file download operation on the same domain, regardless of whether the original and subsequent request were in private and non-private browsing modes. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 83.",NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,83.0,
Firefox,CVE-2020-26957,OneCRL no funcionaba en el nuevo Firefox para Android debido a una falta de inicialización del servicio. Esto podría resultar en un fallo en la aplicación de algunas revocaciones de certificados. *Nota: Este problema sólo afectaba a Firefox para Android. Otros sistemas operativos no están afectados.* Esta vulnerabilidad afecta a Firefox versiones anteriores a 83,OneCRL was non-functional in the new Firefox for Android due to a missing service initialization. This could result in a failure to enforce some certificate revocations. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 83.,NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,83.0,
Firefox,CVE-2020-26964,"Si la funcionalidad Remote Debugging via USB estaba habilitada en Firefox para Android en una versión de Android anterior a Android 6.0, las aplicaciones no confiables podrían haberse conectado a la funcionalidad y operar con los privilegios del navegador para leer e interactuar con el contenido web.&#xa0;La funcionalidad fue implementada como un socket de dominio Unix, protegido por la política SELinux de Android;&#xa0;sin embargo, SELinux no se aplicó para versiones anteriores a 6.0.&#xa0;Esto se corrigió al eliminar la funcionalidad Remote Debugging via USB de los dispositivos afectados.&#xa0;*Nota: este problema solo afectó a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.*.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 83","If the Remote Debugging via USB feature was enabled in Firefox for Android on an Android version prior to Android 6.0, untrusted apps could have connected to the feature and operated with the privileges of the browser to read and interact with web content. The feature was implemented as a unix domain socket, protected by the Android SELinux policy; however, SELinux was not enforced for versions prior to 6.0. This was fixed by removing the Remote Debugging via USB feature from affected devices. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 83.",NETWORK,HIGH,HIGH,HIGH,NONE,6.8,MEDIUM,NULL,NULL,83.0,
Firefox,CVE-2020-26975,"Cuando una aplicación maliciosa instalada en el dispositivo del usuario transmitió un Intent a Firefox para Android, se podrían haber especificado encabezados arbitrarios, conllevando a ataques como abuso de autoridad ambiental o fijación de sesiones.&#xa0;Esto se resolvió permitiendo solo determinados encabezados en la lista segura.&#xa0;*Nota: este problema solo afectó a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.*.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 84","When a malicious application installed on the user's device broadcast an Intent to Firefox for Android, arbitrary headers could have been specified, leading to attacks such as abusing ambient authority or session fixation. This was resolved by only allowing certain safe-listed headers. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 84.",NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,84.0,
Firefox,CVE-2020-26977,"Al intentar conectar un sitio web usando un puerto que no responde, un atacante podría haber controlado el contenido de una pestaña mientras la barra de URL mostraba el dominio original.&#xa0;*Nota: este problema solo afecta a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.*.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 84","By attempting to connect a website using an unresponsive port, an attacker could have controlled the content of a tab while the URL bar displayed the original domain. *Note: This issue only affects Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 84.",NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,84.0,
Firefox,CVE-2021-23976,"Cuando se acepta una intención maliciosa de otras aplicaciones instaladas, Firefox para Android aceptó manifiestos de rutas de archivos arbitrarias y permitió declarar manifiestos de aplicaciones web para otros orígenes.&#xa0;Esto podría usarse para conseguir acceso a pantalla completa para la suplantación de la interfaz de usuario y también podría conllevar a ataques de origen cruzado en sitios web específicos.&#xa0;Nota: Este problema es diferente de CVE-2020-26954 y solo afecta a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 86","When accepting a malicious intent from other installed apps, Firefox for Android accepted manifests from arbitrary file paths and allowed declaring webapp manifests for other origins. This could be used to gain fullscreen access for UI spoofing and could also lead to cross-origin attacks on targeted websites. Note: This issue is a different issue from CVE-2020-26954 and only affected Firefox for Android. Other operating systems are unaffected. This vulnerability affects Firefox < 86.",NETWORK,LOW,HIGH,HIGH,NONE,8.1,HIGH,NULL,NULL,86.0,
Firefox,CVE-2021-23957,"Las navegaciones por medio del esquema de URL ""intent"" específico de Android podrían haber sido usado inapropiadamente para escapar del sandbox de iframe.&#xa0;Nota: este problema solo afectó a Firefox para Android.&#xa0;Otros sistemas operativos no están afectados.&#xa0;Esta vulnerabilidad afecta a Firefox versiones anteriores a 85",Navigations through the Android-specific `intent` URL scheme could have been misused to escape iframe sandbox. Note: This issue only affected Firefox for Android. Other operating systems are unaffected. This vulnerability affects Firefox < 85.,NETWORK,LOW,NONE,HIGH,NONE,7.4,HIGH,NULL,NULL,85.0,
